id,quote,image,tag,likes,author
152,"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",https://images.gr-assets.com/authors/1564671804p2/1069006.jpg,love,19051,C.S. Lewis
153,"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.",https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,life,18957,J.K. Rowling
154,"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",https://images.gr-assets.com/authors/1494211316p2/3534.jpg,writing,18928,Toni Morrison
155,The reason I talk to myself is because Im the only one whose answers I accept.,https://images.gr-assets.com/authors/1214234683p2/22782.jpg,insanity,18901,George Carlin
156,Go to heaven for the climate and hell for the company.,https://images.gr-assets.com/authors/1445333361p2/4184579.jpg,misattributed-mark-twain,18873,Benjamin Franklin Wade
157,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",https://images.gr-assets.com/authors/1436929110p2/82952.jpg,attributed-no-source,18796,Marilyn Monroe
158,"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",,emotion,18759,Jess C. Scott
159,"He has achieved success who has lived well, laughed often, and loved much;",,misattributed-to-emerson,18701,Bessie Anderson Stanley
160,There is nothing to writing. All you do is sit down at a typewriter and bleed.,https://images.gr-assets.com/authors/1574217836p2/1455.jpg,writing,18686,Ernest Hemingway
161,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",https://images.gr-assets.com/authors/1207677340p2/19968.jpg,connection,18357,John Lennon
